"","X","Lat","Long","loc","unique"
"296",296,41.1628,-83.3976,"Fostoria , OH",FALSE
"297",297,33.728,-116.5116,"Palm Springs , CA",FALSE
"300",300,34.7595,-77.5019,"Jacksonville , NC",FALSE
"301",301,35.1752,-79.3834,"Southern Pines , NC",FALSE
"302",302,36.1213,-76.6414,"Edenton , NC",FALSE
"304",304,40.9157,-81.133,"Alliance , OH",FALSE
"305",305,37.7153,-85.8565,"Elizabethtown , KY",FALSE
"306",306,35.0785,-78.9336,"Fayetteville , NC",FALSE
"307",307,41.0331,-73.5694,"Old Greenwich , CT",FALSE
"308",308,39.7976,-75.5392,"Wilmington , DE",FALSE
"309",309,37.2879,-77.4153,"Colonial Heights , VA",FALSE
"312",312,34.0995,-117.5808,"Rancho Cucamonga , CA",FALSE
"313",313,40.1241,-82.3828,"Newark , OH",FALSE
"314",314,41.5402,-86.0524,"Wakarusa , IN",FALSE
"315",315,34.0408,-84.1665,"Duluth , GA",FALSE
"316",316,44.7966,-95.5843,"Granite Falls , MN",FALSE
"317",317,40.5996,-80.2078,"Ambridge , PA",FALSE
"318",318,42.5983,-83.1785,"Troy , MI",FALSE
"321",321,39.4968,-75.0157,"Vineland , NJ",FALSE
"322",322,41.1523,-74.1217,"Suffern , NY",FALSE
"323",323,39.8076,-82.2801,"Somerset , OH",FALSE
"325",325,33.5586,-112.0955,"Phoenix , AZ",FALSE
"326",326,34.8004,-82.3221,"Greenville , SC",FALSE
"327",327,42.3679,-83.1386,"Detroit , MI",FALSE
"328",328,41.7073,-83.543,"Toledo , OH",FALSE
"329",329,38.4207,-86.9277,"Jasper , IN",FALSE
"330",330,41.6766,-85.6959,"Middlebury , IN",FALSE
"332",332,38.9247,-94.7029,"Overland Park , KS",FALSE
"335",335,38.9927,-94.2151,"Grain Valley , MO",FALSE
"336",336,39.8484,-95.5585,"Hiawatha , KS",FALSE
"337",337,37.219,-93.3176,"Springfield , MO",FALSE
"338",338,36.5732,-94.2747,"Pineville , MO",FALSE
"339",339,41.872,-88.1662,"Winfield , IL",FALSE
"340",340,47.1511,-122.4492,"Tacoma , WA",FALSE
"341",341,39.833,-84.2177,"Dayton , OH",FALSE
"343",343,43.5042,-96.8391,"Sioux Falls , SD",FALSE
"344",344,39.9737,-82.5091,"Hebron , OH",FALSE
"345",345,41.852,-88.1211,"Wheaton , IL",FALSE
"348",348,37.1493,-94.8893,"Columbus , KS",FALSE
"349",349,40.7871,-74.3291,"Livingston , NJ",FALSE
"350",350,36.2409,-92.5355,"Flippin , AR",FALSE
"353",353,38.6182,-90.3467,"Saint Louis , MO",FALSE
"354",354,38.6383,-90.4271,"Fenton , MO",FALSE
"356",356,38.5974,-90.0071,"Fairview Heights , IL",FALSE
"358",358,35.1364,-89.7726,"Cordova , TN",FALSE
"361",361,36.146,-80.3243,"Winston Salem , NC",FALSE
"362",362,36.0312,-115.0739,"Henderson , NV",FALSE
"365",365,37.2782,-89.5479,"Cape Girardeau , MO",FALSE
"366",366,39.0437,-92.2714,"Columbia , MO",FALSE
"367",367,38.7031,-89.8786,"Troy , IL",FALSE
"368",368,38.0858,-85.8495,"Louisville , KY",FALSE
"370",370,36.7527,-90.4853,"Poplar Bluff , MO",FALSE
"371",371,39.2359,-85.836,"Columbus , IN",FALSE
"372",372,32.3934,-86.3222,"Montgomery , AL",FALSE
"373",373,42.5507,-90.6931,"Dubuque , IA",FALSE
"374",374,38.7859,-90.7861,"Lake Saint Louis , MO",FALSE
"375",375,35.5798,-97.5731,"Oklahoma City , OK",FALSE
"377",377,39.0164,-89.7811,"Staunton , IL",FALSE
"378",378,42.2256,-83.2685,"Taylor , MI",FALSE
"379",379,38.7283,-90.4509,"Maryland Heights , MO",FALSE
"380",380,41.1003,-73.3983,"Norwalk , CT",FALSE
"381",381,41.5174,-71.9904,"Preston , CT",FALSE
"383",383,42.6489,-71.1655,"Andover , MA",FALSE
"384",384,33.7844,-84.2135,"Stone Mountain , GA",FALSE
"385",385,38.9506,-94.7791,"Lenexa , KS",FALSE
"386",386,32.7736,-115.6022,"El Centro , CA",FALSE
"388",388,39.6873,-111.8309,"Nephi , UT",FALSE
"389",389,41.1108,-112.026,"Clearfield , UT",FALSE
"390",390,34.133,-84.3005,"Alpharetta , GA",FALSE
"393",393,40.7608,-111.8911,"Salt Lake City , UT",FALSE
"395",395,41.1285,-111.9834,"Hill Afb , UT",FALSE
"396",396,40.8421,-111.9056,"North Salt Lake , UT",FALSE
"400",400,38.8609,-104.8734,"Colorado Springs , CO",FALSE
"401",401,29.9589,-90.1568,"New Orleans , LA",FALSE
"402",402,38.4407,-102.786,"Eads , CO",FALSE
"403",403,32.3134,-90.172,"Jackson , MS",FALSE
"405",405,37.7672,-92.0991,"Fort Leonard Wood , MO",FALSE
"410",410,33.4912,-111.9237,"Scottsdale , AZ",FALSE
"411",411,38.9967,-105.1184,"Woodland Park , CO",FALSE
"414",414,34.1359,-117.1553,"Highland , CA",FALSE
"415",415,39.569,-104.8582,"Englewood , CO",FALSE
"417",417,39.1141,-104.8984,"Palmer Lake , CO",FALSE
"423",423,42.2344,-96.4887,"Winnebago , NE",FALSE
"424",424,42.018,-97.4543,"Norfolk , NE",FALSE
"425",425,42.2063,-97.5723,"Pierce , NE",FALSE
"426",426,35.7847,-105.8749,"Santa Fe , NM",FALSE
"427",427,35.0441,-106.8904,"Albuquerque , NM",FALSE
"428",428,40.4293,-74.4203,"East Brunswick , NJ",FALSE
"429",429,39.2106,-76.8268,"Columbia , MD",FALSE
"430",430,31.7958,-106.3762,"El Paso , TX",FALSE
"431",431,35.0207,-107.9583,"Grants , NM",FALSE
"432",432,36.0008,-106.1316,"Espanola , NM",FALSE
"433",433,33.9582,-118.3614,"Inglewood , CA",FALSE
"434",434,36.7966,-106.8854,"Dulce , NM",FALSE
"438",438,40.1368,-122.431,"Red Bluff , CA",FALSE
"439",439,36.8716,-107.8885,"Aztec , NM",FALSE
"440",440,26.72,-80.0702,"West Palm Beach , FL",FALSE
"441",441,32.2246,-107.7635,"Deming , NM",FALSE
"443",443,32.8186,-103.4384,"Lovington , NM",FALSE
"445",445,32.3047,-106.6417,"Las Cruces , NM",FALSE
"446",446,35.8987,-80.5741,"Mocksville , NC",FALSE
"448",448,33.5682,-104.4225,"Roswell , NM",FALSE
"450",450,39.1068,-94.566,"Kansas City , MO",FALSE
"451",451,42.0152,-87.9901,"Elk Grove Village , IL",FALSE
"452",452,37.29,-120.4888,"Merced , CA",FALSE
"454",454,28.5883,-81.2439,"Orlando , FL",FALSE
"455",455,32.2995,-104.2875,"Carlsbad , NM",FALSE
"456",456,32.8854,-103.7113,"Maljamar , NM",FALSE
"457",457,39.3335,-83.0168,"Chillicothe , OH",FALSE
"458",458,34.4851,-106.2263,"Mountainair , NM",FALSE
"459",459,32.7103,-103.2764,"Hobbs , NM",FALSE
"461",461,38.9543,-77.1159,"Bethesda , MD",FALSE
"462",462,39.7525,-104.9995,"Denver , CO",FALSE
"463",463,45.4691,-122.5535,"Portland , OR",FALSE
"466",466,30.4386,-91.1703,"Baton Rouge , LA",FALSE
"467",467,42.425,-83.3744,"Livonia , MI",FALSE
"468",468,42.0347,-87.7614,"Skokie , IL",FALSE
"469",469,39.871,-104.7843,"Commerce City , CO",FALSE
"471",471,40.5939,-105.1256,"Fort Collins , CO",FALSE
"472",472,30.9668,-83.1896,"Moody A F B , GA",FALSE
"473",473,37.3506,-94.6819,"Pittsburg , KS",FALSE
"474",474,42.9777,-85.711,"Grand Rapids , MI",FALSE
"475",475,40.8176,-96.7114,"Lincoln , NE",FALSE
"476",476,41.4803,-96.4728,"Fremont , NE",FALSE
"477",477,41.512,-97.347,"Columbus , NE",FALSE
"479",479,40.7499,-99.198,"Kearney , NE",FALSE
"480",480,42.5241,-96.4998,"North Sioux City , SD",FALSE
"482",482,39.9572,-74.9162,"Mount Laurel , NJ",FALSE
"483",483,36.3457,-94.2514,"Bentonville , AR",FALSE
"484",484,34.3138,-83.8095,"Gainesville , GA",FALSE
"487",487,43.8489,-84.7349,"Clare , MI",FALSE
"489",489,26.6356,-82.0164,"Cape Coral , FL",FALSE
"490",490,45.6659,-85.5584,"Beaver Island , MI",FALSE
"491",491,38.2907,-76.5221,"California , MD",FALSE
"493",493,42.4726,-98.5671,"Oneill , NE",FALSE
"496",496,38.4821,-77.8175,"Elkwood , VA",FALSE
"497",497,44.2782,-103.6297,"Deadwood , SD",FALSE
"498",498,36.0492,-96.0712,"Tulsa , OK",FALSE
"499",499,35.3659,-94.4126,"Fort Smith , AR",FALSE
"501",501,32.7546,-97.7876,"Weatherford , TX",FALSE
"502",502,34.1379,-118.1296,"Pasadena , CA",FALSE
"508",508,34.1539,-117.9919,"Monrovia , CA",FALSE
"509",509,33.0168,-112.2028,"Maricopa , AZ",FALSE
"510",510,32.268,-83.5266,"Hawkinsville , GA",FALSE
"512",512,33.7877,-117.9738,"Garden Grove , CA",FALSE
"513",513,42.6542,-84.1766,"Webberville , MI",FALSE
"515",515,30.6518,-95.5543,"Huntsville , TX",FALSE
"517",517,29.4244,-98.4842,"San Antonio , TX",FALSE
"519",519,40.0878,-105.3735,"Boulder , CO",FALSE
"521",521,39.6412,-106.3228,"Vail , CO",FALSE
